,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,kiama,-34.6833,150.8667,64.38,95,86,2.26,AU,1644699829
369,sattenapalle,16.4,80.1833,67.84,94,54,3.06,IN,1644699829
370,santa luzia,-19.7697,-43.8514,74.3,92,62,4.21,BR,1644699829
371,aswan,24.0934,32.907,59.02,44,0,10.76,EG,1644699829
372,altay,47.8667,88.1167,10.94,82,100,2.8,CN,1644699830
373,port hope,43.9408,-82.7127,13.96,67,100,10.36,US,1644699830
374,vestmannaeyjar,63.4427,-20.2734,28.42,78,22,3.42,IS,1644699830
375,ayagoz,47.9714,80.4392,14.56,94,100,15.59,KZ,1644699831
376,shiraz,29.6036,52.5388,44.69,79,67,1.1,IR,1644699831
377,ukhta,63.5671,53.6835,12.94,96,100,5.84,RU,1644699831
378,lunino,53.5918,45.2271,19.8,96,86,6.38,RU,1644699832
379,walvis bay,-22.9575,14.5053,71.1,81,89,3.38,NA,1644699832
380,banepa,27.6298,85.5214,43.12,93,20,3.44,NP,1644699833
381,krasnyy chikoy,50.3643,108.7512,-22.45,100,99,1.1,RU,1644699833
382,kalemie,-5.9475,29.1947,70.29,86,100,0.47,CD,1644699834
383,sawakin,19.1059,37.3321,70.63,61,11,10.22,SD,1644699834
384,navolato,24.7672,-107.6944,85.64,43,99,12.21,MX,1644699834
385,beira,-19.8436,34.8389,82.49,69,40,10.36,MZ,1644699834
386,westport,41.1415,-73.3579,57.24,40,0,18.41,US,1644699835
387,ixtapa,20.7,-105.2,79.83,50,0,8.05,MX,1644699835
388,ambon,-3.6954,128.1814,77.14,94,40,2.3,ID,1644699779
389,omsukchan,62.5333,155.8,-30.64,95,46,3.8,RU,1644699835
390,muisne,0.6,-80.0333,80.71,87,98,6.35,EC,1644699836
391,tuatapere,-46.1333,167.6833,51.82,75,100,6.98,NZ,1644699836
392,inuvik,68.3499,-133.7218,-27.69,96,68,4.07,CA,1644699836
393,wichian buri,15.6578,101.106,80.29,67,62,3.06,TH,1644699837
394,santa maria,-29.6842,-53.8069,71.53,88,96,5.59,BR,1644699837
395,damghan,36.1683,54.348,40.03,60,0,1.59,IR,1644699837
396,yar-sale,66.8333,70.8333,-8.55,93,100,15.01,RU,1644699837
397,karaton,-6.3424,106.1045,79.95,91,100,3.87,ID,1644699838
398,zalantun,48.0,122.7167,-5.94,85,76,6.64,CN,1644699838
399,morondava,-20.2833,44.2833,82.0,83,100,6.2,MG,1644699838
400,usinsk,65.9939,57.5281,7.41,95,100,16.2,RU,1644699839
401,zhuanghe,39.7008,122.9911,27.61,50,100,7.87,CN,1644699839
402,dakar,14.6937,-17.4441,72.48,68,35,21.3,SN,1644699839
403,bulaevo,54.9056,70.4439,1.92,98,97,3.27,KZ,1644699839
404,pacific grove,36.6177,-121.9166,84.61,34,0,5.75,US,1644699840
405,kawasaki,35.5206,139.7172,41.11,74,40,9.22,JP,1644699840
406,barra do garcas,-15.89,-52.2567,81.03,84,54,2.3,BR,1644699840
407,hirado,33.3597,129.5531,49.35,90,100,15.03,JP,1644699841
408,muros,42.7762,-9.0603,51.24,92,7,5.21,ES,1644699841
409,kurilsk,45.2333,147.8833,27.54,88,100,2.75,RU,1644699901
410,chabahar,25.2919,60.643,70.21,66,0,9.64,IR,1644699902
411,kodinsk,58.6881,99.1844,-20.9,100,26,2.21,RU,1644699902
412,olinda,-8.0089,-34.8553,83.93,74,20,5.75,BR,1644699902
413,torbay,47.6666,-52.7314,45.28,82,96,8.99,CA,1644699619
414,cabo san lucas,22.8909,-109.9124,84.51,46,1,5.01,MX,1644699649
415,almeirim,-1.5233,-52.5817,82.89,69,65,2.51,BR,1644699903
416,scarborough,54.2797,-0.4044,48.07,86,100,13.0,GB,1644699904
417,zumarraga,11.6388,124.8417,75.29,90,60,7.16,PH,1644699904
418,strzelce krajenskie,52.8773,15.5298,29.12,71,59,8.68,PL,1644699904
419,longyearbyen,78.2186,15.6401,10.24,72,0,13.8,SJ,1644699904
420,lastoursville,-0.8143,12.7287,76.57,81,84,3.58,GA,1644699905
421,artvin,41.1667,41.8333,33.08,66,6,0.72,TR,1644699905
422,russell,32.3502,-85.1999,71.96,33,0,4.61,US,1644699905
423,nabire,-3.3667,135.4833,74.71,93,98,3.4,ID,1644699906
424,paita,-5.0892,-81.1144,81.16,66,100,13.73,PE,1644699906
425,vao,-22.6667,167.4833,79.29,81,99,4.23,NC,1644699906
426,findlay,41.0442,-83.6499,26.73,63,100,13.8,US,1644699741
427,gandzak,40.3147,45.1114,16.97,53,7,6.06,AM,1644699907
428,snezhnogorsk,69.1933,33.2531,-5.22,98,48,6.64,RU,1644699907
429,asau,46.4333,26.4,30.76,93,81,2.46,RO,1644699908
430,north las vegas,36.1989,-115.1175,73.83,13,0,1.01,US,1644699614
431,kolpashevo,58.3131,82.9089,-3.82,97,10,8.05,RU,1644699908
432,sivaki,52.6333,126.75,-9.04,90,99,7.34,RU,1644699908
433,talnakh,69.4865,88.3972,-8.82,79,17,9.13,RU,1644699908
434,avera,33.194,-82.5271,71.71,35,97,7.45,US,1644699690
435,asosa,10.0667,34.5333,68.54,44,54,2.75,ET,1644699909
436,okato,-39.2,173.8833,69.91,93,100,16.37,NZ,1644699909
437,porto seguro,-16.4497,-39.0647,81.12,83,40,8.05,BR,1644699846
438,ibanda,-2.7974,32.4746,64.11,88,100,3.15,TZ,1644699910
439,antalaha,-14.9003,50.2788,73.15,92,33,5.41,MG,1644699910
440,surt,31.2089,16.5887,58.01,60,0,7.63,LY,1644699910
441,aksu,41.1231,80.2644,30.31,42,25,5.59,CN,1644699625
442,goderich,43.7501,-81.7165,15.91,89,100,11.23,CA,1644699910
443,carberry,49.8689,-99.3602,-1.35,80,100,10.29,CA,1644699911
444,hami,42.8,93.45,27.75,52,81,2.77,CN,1644699911
445,howard springs,-12.497,131.047,78.71,96,3,2.98,AU,1644699911
446,hirara,24.8,125.2833,69.75,86,100,10.04,JP,1644699912
447,camana,-16.6228,-72.7111,73.49,73,85,6.31,PE,1644699912
448,bristol,41.8334,-71.1662,60.3,46,0,14.97,US,1644699650
449,dubrovka,53.6907,33.5071,24.78,91,14,12.24,RU,1644699912
450,kenai,60.5544,-151.2583,27.14,96,75,0.0,US,1644699913
451,fairbanks,64.8378,-147.7164,0.91,73,100,0.0,US,1644699913
452,putina,-15.4667,-69.4333,53.46,60,100,15.5,PE,1644699913
453,christchurch,-43.5333,172.6333,51.01,91,100,5.75,NZ,1644699905
454,college,64.8569,-147.8028,0.9,73,100,1.45,US,1644699619
455,tiksi,71.6872,128.8694,-7.98,89,91,14.83,RU,1644699914
456,birjand,32.8663,59.2211,46.31,72,100,3.02,IR,1644699974
457,nara,34.6851,135.8049,42.98,58,86,2.35,JP,1644699865
458,klaksvik,62.2266,-6.589,38.32,86,99,4.32,FO,1644699974
459,samarai,-10.6167,150.6667,80.85,69,80,8.39,PG,1644699975
460,marystown,47.1666,-55.1483,45.86,100,70,8.99,CA,1644699975
461,strood,51.3959,0.4936,45.5,74,100,8.99,GB,1644699975
462,uyuni,-20.4597,-66.825,63.41,13,98,4.97,BO,1644699976
463,tabou,4.423,-7.3528,78.49,85,4,6.31,CI,1644699976
464,khasan,42.4308,130.6434,20.59,50,99,8.97,RU,1644699977
465,tura,25.5198,90.2201,54.39,75,0,4.14,IN,1644699977
466,kyabe,9.4515,18.9449,81.25,13,36,5.41,TD,1644699977
467,kathmandu,27.7167,85.3167,44.82,93,20,3.44,NP,1644699977
468,shache,38.4167,77.2406,36.73,35,100,2.42,CN,1644699978
469,bayabas,16.45,120.5167,65.19,76,91,4.14,PH,1644699978
470,sokolo,14.7328,-6.1219,75.06,12,0,9.4,ML,1644699978
471,kruisfontein,-34.0033,24.7314,72.1,91,95,9.64,ZA,1644699979
472,aksarka,66.5606,67.7975,-13.09,95,100,7.34,RU,1644699979
473,sioux lookout,50.1001,-91.917,-4.54,75,100,3.87,CA,1644699835
474,north bend,43.4065,-124.2243,65.91,100,3,3.18,US,1644699721
475,valdosta,30.8327,-83.2785,65.79,53,100,0.0,US,1644699908
476,gorin,51.1983,136.6669,12.54,94,100,8.57,RU,1644699979
477,soyaux,45.65,0.2,40.98,63,0,2.3,FR,1644699980
478,lae,-6.7221,146.9847,76.93,86,87,3.67,PG,1644699980
479,sao jose da coroa grande,-8.8978,-35.1478,81.21,73,17,11.92,BR,1644699980
480,rakiv lis,51.6217,24.9243,26.89,87,21,6.44,UA,1644699981
481,coahuayana,18.7333,-103.6833,89.08,32,43,7.63,MX,1644699981
482,turbat,26.0023,63.044,65.01,71,0,3.09,PK,1644699981
483,verkhoyansk,67.5447,133.385,-32.15,98,85,1.12,RU,1644699982
484,victor harbor,-35.5667,138.6167,75.9,36,93,6.06,AU,1644699982
485,segou,13.4317,-6.2157,75.94,13,1,8.77,ML,1644699982
486,ligatne,57.2343,25.0406,33.26,82,97,7.0,LV,1644699983
487,balkanabat,39.5108,54.3671,44.82,54,0,3.62,TM,1644699983
488,mayo,38.8876,-76.5119,60.19,47,0,7.0,US,1644699851
489,leh,34.1667,77.5833,-2.06,70,90,2.13,IN,1644699969
490,gallup,35.5281,-108.7426,54.36,12,0,5.75,US,1644699983
491,talara,-4.5772,-81.2719,81.36,54,0,9.22,PE,1644699984
492,tual,-5.6667,132.75,82.56,71,23,3.96,ID,1644699984
493,senaki,42.2704,42.0675,39.29,77,6,4.21,GE,1644699984
494,two hills,53.7169,-111.7518,21.87,80,96,4.52,CA,1644699984
495,fort saint james,54.4333,-124.25,35.94,76,100,0.58,CA,1644699985
496,port blair,11.6667,92.75,75.6,73,9,13.06,IN,1644699985
497,killybegs,54.6333,-8.45,45.45,82,100,17.54,IE,1644699985
498,kampot,10.6167,104.1833,73.45,81,63,4.32,KH,1644699986
499,buraydah,26.326,43.975,50.5,40,0,8.68,SA,1644699986
500,syracuse,37.0881,15.2792,55.31,80,100,4.83,IT,1644699986
501,dzidzantun,21.25,-89.05,78.44,75,99,5.1,MX,1644699986
502,talakan,50.3167,130.3667,1.08,98,100,2.68,RU,1644699987
503,pavlovsk,50.4578,40.1081,29.75,86,95,13.31,RU,1644699987
504,whitehorse,60.7161,-135.0538,39.31,41,47,11.01,CA,1644699987
505,erenhot,43.6475,111.9767,-1.43,90,100,11.23,CN,1644700048
506,viru,-8.4167,-78.75,70.9,57,66,11.34,PE,1644700048
507,olovo,44.13,18.5828,35.11,94,96,2.51,BA,1644700048
508,porbandar,21.6422,69.6093,67.75,49,2,9.64,IN,1644700049
509,khotiv,50.3307,30.4684,29.5,76,0,8.99,UA,1644700049
510,abrau-dyurso,44.69,37.59,40.96,79,100,18.59,RU,1644700049
511,road town,18.4167,-64.6167,75.29,88,75,9.22,VG,1644700049
512,sehithwa,-20.4667,22.7167,71.67,59,18,5.19,BW,1644700050
513,poyarkovo,49.6,128.6833,0.93,96,100,7.18,RU,1644700050
514,larsnes,62.2028,5.5773,42.62,87,100,12.06,NO,1644700050
515,mujiayingzi,42.1167,118.7833,8.74,82,86,2.48,CN,1644700051
516,naryan-mar,67.6713,53.087,11.03,95,97,10.11,RU,1644700051
517,erzin,36.9559,36.2,52.52,70,43,2.73,TR,1644700051
518,aparecida do taboado,-20.0867,-51.0936,81.37,73,74,7.27,BR,1644699905
519,lambari,-21.9756,-45.3503,70.72,89,16,0.83,BR,1644700052
520,vestmanna,62.1564,-7.1664,36.52,93,75,0.0,FO,1644700052
521,darnah,32.767,22.6367,55.65,58,0,7.34,LY,1644700052
522,padang,-0.9492,100.3543,76.21,81,96,4.16,ID,1644700053
523,caraquet,47.7941,-64.9386,35.83,100,100,9.53,CA,1644700053
524,monte aprazivel,-20.7725,-49.7142,78.89,78,70,5.91,BR,1644700053
